session_id,start_time,end_time,duration_seconds,total_turns,average_bot_latency_seconds
51a666b6-e673-4ebb-990e-b80fd37b67c5,18:44.5,20:54.0,129.480643,10,1.870602608
ab589f55-9000-4c1f-9b1a-175057e2525d,27:04.4,28:31.4,87.05657482,10,2.335474014
